"name","comarca","ine","lon","lat","cp"
"Fuentes Claras","Jiloca","44112","-1.3198112","40.8633848","44340"
"Fuentes de Ebro","D.C. Zaragoza","50115","-0.6311809","41.5130541","50740"
"Fuentes de Jiloca","Comunidad de Calatayud","50116","-1.5390218","41.2291844","50390"
"Fuentes de Rubielos","Gúdar-Javalambre","44113","-0.618344","40.169539","44415"
"Fuentespalda","Matarranya","44114","0.0635827","40.806389","44587"
"Fueva (La)","Sobrarbe","22113","0.1519651","42.4125178",NA
"Fórnoles","Matarranya","44105","-0.0037887","40.8933387","44650"
"Gallocanta","Campo de Daroca","50117","-1.5081555","40.9974276","50373"
"Gallur","Ribera Alta del Ebro","50118","-1.3143906","41.8662402","50650"
"Galve","Comunidad de Teruel","44115","-0.8812191","40.6560796","44168"
"Gargallo","Andorra-Sierra de Arcos","44116","-0.5828317","40.8349859","44558"
"Gea de Albarracín","Sierra de Albarracín","44117","-1.3475274","40.4113351","44110"
"Gelsa","Ribera Baja del Ebro","50119","-0.4611438","41.4074528","50786"
"Ginebrosa (La)","Bajo Aragón","44118","-0.1345813","40.8705128","44643"
"Gistaín","Sobrarbe","22114","0.336307","42.5912064","22367"
"Godojos","Comunidad de Calatayud","50120","-1.8641509","41.2677025","50238"
"Gotor","Aranda","50121","-1.6487462","41.5463439","50257"
"Grado (El)","Somontano de Barbastro","22115","0.2230006","42.1518058","22390"
"Graus","La Ribagorza","22117","0.3377768","42.190723","22430"
"Grañén","Los Monegros","22116","-0.3695392","41.9395167","22260"
"Griegos","Sierra de Albarracín","44119","-1.7119185","40.4256358","44114"
"Grisel","Tarazona y el Moncayo","50122","-1.72803","41.8710209","50513"
"Grisén","Ribera Alta del Ebro","50123","-1.1634967","41.7454472","50297"
"Guadalaviar","Sierra de Albarracín","44120","-1.7176937","40.3882921","44115"
"Gurrea de Gállego","Plana de Uesca","22119","-0.7610053","42.0156524","22280"
"Gúdar","Gúdar-Javalambre","44121","-0.7204834","40.4413521","44433"
"Herrera de los Navarros","Campo de Daroca","50124","-1.0813656","41.2092516","50150"
"Hinojosa de Jarque","Cuencas Mineras","44123","-0.7847817","40.6897479","44157"
"Hoz de Jaca","Alto Gállego","22122","-0.3060402","42.6907039","22662"
"Hoz de la Vieja (La)","Cuencas Mineras","44124","-0.8448794","40.9240444","44791"
"Hoz y Costeán","Somontano de Barbastro","22908","0.1214235","42.1473263",NA
"Huerto","Los Monegros","22124","-0.1676417","41.9313073","22210"
"Huesa del Común","Cuencas Mineras","44125","-0.9181876","41.0099182","44213"
"Huesca","Plana de Uesca","22125","-0.4078058","42.131845",NA
"Híjar","Bajo Martín","44122","-0.4490575","41.1732193","44530"
"Ibdes","Comunidad de Calatayud","50125","-1.833662","41.2179778","50236"
