name,comarca,ine
Fuenferrada,Cuencas Mineras,44110
Fuentes Calientes,Comunidad de Teruel,44111
Fuentes Claras,Jiloca,44112
Fuentes de Rubielos,Gúdar-Javalambre,44113
Fuentespalda,Matarranya,44114
Galve,Comunidad de Teruel,44115
Gargallo,Andorra-Sierra de Arcos,44116
Gea de Albarracín,Sierra de Albarracín,44117
Ginebrosa (La),Bajo Aragón,44118
Griegos,Sierra de Albarracín,44119
Guadalaviar,Sierra de Albarracín,44120
Gúdar,Gúdar-Javalambre,44121
Híjar,Bajo Martín,44122
Hinojosa de Jarque,Cuencas Mineras,44123
Hoz de la Vieja (La),Cuencas Mineras,44124
Huesa del Común,Cuencas Mineras,44125
Iglesuela del Cid (La),Maestrazgo,44126
Jabaloyas,Sierra de Albarracín,44127
Jarque de la Val,Cuencas Mineras,44128
Jatiel,Bajo Martín,44129
Jorcas,Comunidad de Teruel,44130
Josa,Cuencas Mineras,44131
Lagueruela,Jiloca,44132
Lanzuela,Jiloca,44133
Libros,Comunidad de Teruel,44135
Lidón,Comunidad de Teruel,44136
Linares de Mora,Gúdar-Javalambre,44137
Loscos,Jiloca,44138
Lledó,Matarranya,44141
Maicas,Cuencas Mineras,44142
Manzanera,Gúdar-Javalambre,44143
Martín del Río,Cuencas Mineras,44144
Mas de las Matas,Bajo Aragón,44145
Mata de los Olmos (La),Bajo Aragón,44146
Mazaleón,Matarranya,44147
Mezquita de Jarque,Cuencas Mineras,44148
Mirambel,Maestrazgo,44149
Miravete de la Sierra,Maestrazgo,44150
Molinos,Maestrazgo,44151
Monforte de Moyuela,Jiloca,44152
Monreal del Campo,Jiloca,44153
Monroyo,Matarranya,44154
Montalbán,Cuencas Mineras,44155
Monteagudo del Castillo,Comunidad de Teruel,44156
Monterde de Albarracín,Sierra de Albarracín,44157
Mora de Rubielos,Gúdar-Javalambre,44158
Moscardón,Sierra de Albarracín,44159
Mosqueruela,Gúdar-Javalambre,44160
Muniesa,Cuencas Mineras,44161
Noguera de Albarracín,Sierra de Albarracín,44163
Nogueras,Jiloca,44164
Nogueruelas,Gúdar-Javalambre,44165
Obón,Cuencas Mineras,44167
Odón,Jiloca,44168
Ojos Negros,Jiloca,44169
Olba,Gúdar-Javalambre,44171
Oliete,Andorra-Sierra de Arcos,44172
Olmos (Los),Bajo Aragón,44173
Orihuela del Tremedal,Sierra de Albarracín,44174
Orrios,Comunidad de Teruel,44175
Palomar de Arroyos,Cuencas Mineras,44176
Pancrudo,Comunidad de Teruel,44177
Parras de Castellote (Las),Bajo Aragón,44178
Peñarroya de Tastavins,Matarranya,44179
Peracense,Jiloca,44180
Peralejos,Comunidad de Teruel,44181
Perales del Alfambra,Comunidad de Teruel,44182
Pitarque,Maestrazgo,44183
Plou,Cuencas Mineras,44184
Pobo (El),Comunidad de Teruel,44185
Portellada (La),Matarranya,44187
Pozondón,Sierra de Albarracín,44189
Pozuel del Campo,Jiloca,44190
Puebla de Híjar (La),Bajo Martín,44191
Puebla de Valverde (La),Gúdar-Javalambre,44192
Puertomingalvo,Gúdar-Javalambre,44193
Ráfales,Matarranya,44194
Rillo,Comunidad de Teruel,44195
Riodeva,Comunidad de Teruel,44196
Ródenas,Sierra de Albarracín,44197
Royuela,Sierra de Albarracín,44198
Rubiales,Sierra de Albarracín,44199
Rubielos de la Cérida,Jiloca,44200
Rubielos de Mora,Gúdar-Javalambre,44201
Salcedillo,Cuencas Mineras,44203
Saldón,Sierra de Albarracín,44204
Samper de Calanda,Bajo Martín,44205
San Agustín,Gúdar-Javalambre,44206
San Martín del Río,Jiloca,44207
Santa Cruz de Nogueras,Jiloca,44208
Santa Eulalia,Comunidad de Teruel,44209
Sarrión,Gúdar-Javalambre,44210
Segura de los Baños,Cuencas Mineras,44211
Seno,Bajo Aragón,44212
Singra,Jiloca,44213
Terriente,Sierra de Albarracín,44215
Teruel,Comunidad de Teruel,44216
Toril y Masegoso,Sierra de Albarracín,44217
Tormón,Comunidad de Teruel,44218
Tornos,Jiloca,44219
Torralba de los Sisones,Jiloca,44220
Torrecilla de Alcañiz,Bajo Aragón,44221
Torrecilla del Rebollar,Jiloca,44222
Torre de Arcas,Matarranya,44223
Torre de las Arcas,Cuencas Mineras,44224
Torre del Compte,Matarranya,44225
Torrelacárcel,Comunidad de Teruel,44226
Torre los Negros,Jiloca,44227
Torremocha de Jiloca,Comunidad de Teruel,44228
Torres de Albarracín,Sierra de Albarracín,44229
Torrevelilla,Bajo Aragón,44230
Torrijas,Gúdar-Javalambre,44231
Torrijo del Campo,Jiloca,44232
Tramacastiel,Comunidad de Teruel,44234
Tramacastilla,Sierra de Albarracín,44235
Tronchón,Maestrazgo,44236
Urrea de Gaén,Bajo Martín,44237
Utrillas,Cuencas Mineras,44238
Valacloche,Comunidad de Teruel,44239
Valbona,Gúdar-Javalambre,44240
Valdealgorfa,Bajo Aragón,44241
Valdecuenca,Sierra de Albarracín,44243
Valdelinares,Gúdar-Javalambre,44244
Valdeltormo,Matarranya,44245
Valderrobres,Matarranya,44246
Valjunquera,Matarranya,44247
Vallecillo (El),Sierra de Albarracín,44249
Veguillas de la Sierra,Comunidad de Teruel,44250
Villafranca del Campo,Jiloca,44251
Villahermosa del Campo,Jiloca,44252
Villanueva del Rebollar de la Sierra,Cuencas Mineras,44256
Villar del Cobo,Sierra de Albarracín,44257
Villar del Salz,Jiloca,44258
Villarluengo,Maestrazgo,44260
Villarquemado,Comunidad de Teruel,44261
Villarroya de los Pinares,Maestrazgo,44262
Villastar,Comunidad de Teruel,44263
Villel,Comunidad de Teruel,44264
Vinaceite,Bajo Martín,44265
Visiedo,Comunidad de Teruel,44266
Vivel del Río Martín,Cuencas Mineras,44267
Zoma (La),Cuencas Mineras,44268
Abanto,Comunidad de Calatayud,50001
Acered,Campo de Daroca,50002
Agón,Campo de Borja,50003
Aguarón,Campo de Cariñena,50004
Aguilón,Campo de Cariñena,50005
Ainzón,Campo de Borja,50006
Aladrén,Campo de Cariñena,50007
Alagón,Ribera Alta del Ebro,50008
Alarba,Comunidad de Calatayud,50009
Alberite de San Juan,Campo de Borja,50010
Albeta,Campo de Borja,50011
Alborge,Ribera Baja del Ebro,50012
Alcalá de Ebro,Ribera Alta del Ebro,50013
Alcalá de Moncayo,Tarazona y el Moncayo,50014
